"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg"
"276","Linaria vulgaris",0.416666666666667,189.25,5.67828227766667,105.3945,0.174676923076923
"277","Linum usitatissimum",0.45,163.445,0.905,41.5,5.07
"278","Logfia minima",0.125,367.185,0.2,6.635,0.025341
"279","Lolium multiflorum",0.325,265,26.82177515,606,2.9086
"280","Lolium perenne",0.125,214.3975,14.5298595333333,402,1.97511111111111
"281","Lonicera caprifolium",4.875,250.63,74.6525,1630.125,8.04
"282","Lotus corniculatus",0.429166666666667,186,4.49923305066667,132,1.4034375
"283","Lotus pedunculatus",0.2625,207.813333333333,16.1518002866667,511,4.62866666666667
"284","Ludwigia palustris",0.12,205.2325,7.28,258.87,0.045
"285","Lunaria annua",0.45,114.865,226.565,7897.83333333333,18.933
"286","Luzula campestris",0.27,245.74,4.315,73,0.676883076923077
"287","Luzula pilosa",0.15,228,26.46637744,664,0.9704
"288","Lycopus europaeus",0.566666666666667,103.92,29.4,1814.75,0.233163636363636
"289","Lysimachia nummularia",0.45,227.65,10.07904268,284.333333333333,0.5
"290","Lysimachia punctata",0.55,246,129.304382,2841,0.4445
"291","Lysimachia vulgaris",0.896,242.623333333333,95.08408684,2539.25,0.3224
"292","Lythrum hyssopifolia",0.311666666666667,218.27,0.49,12.5,0.332078947368421
"293","Lythrum portula",0.103333333333333,277,1.289932886,31,0.0332
"294","Lythrum salicaria",0.708333333333333,179.845,51.07559052,1742.375,0.085928
"295","Malus sylvestris",6,248.8,200.25424625,2910.14,23.634
"296","Malva alcea",0.65,136.21,49.95,1375.5,3.9
"297","Malva sylvestris",0.575,171.22,341.6,7727.5,2.96045714285714
"298","Matthiola incana",0.476666666666667,119.17,26.485,590,2.06
"299","Medicago arabica",0.308333333333333,189.07,19.0475,675.585,1.8786
"300","Medicago lupulina",0.25,196,17.27838062,509.333333333333,1.77992777775
"301","Medicago polymorpha",0.3625,224.065,33.205,667.25,2.946
"302","Melica ciliata",0.36,506.78,11.175,204.03,0.8515135135
"303","Melilotus officinalis",1.075,237.666666666667,46.8907955283333,607,2.95879473684211
"304","Melittis melissophyllum",0.3,148.295,45.22,2586.75,5.39
"305","Mentha aquatica",0.383333333333333,179.62,40.615563575,1722.4375,0.128323809571429
"306","Mentha longifolia",0.725,194.905,61.885,1777,0.064
"307","Mentha pulegium",0.166666666666667,179.3,6.32,198.27,0.077032
"308","Mentha suaveolens",0.575,181.94,56.8633333333333,1483.75,0.0465
"309","Menyanthes trifoliata",0.176666666666667,193.726666666667,211.286,4425.16666666667,2.97472
"310","Mercurialis annua",0.25,165.385,17.075,759.855,2.32230909090909
"311","Mercurialis perennis",0.216666666666667,224.5,83.870610815,1890.5,5.55142857142857
"312","Mespilus germanica",6.375,325.545,180.385,2747.5,60.83
"313","Misopates orontium",0.343333333333333,134.215,9.86,202.625,0.15686
"314","Moehringia trinervia",0.175,179.333333333333,2.397892544,81.3333333333333,0.21
"315","Molinia caerulea",0.7875,369.716666666667,56.85673155,1286.625,0.714553846153846
"316","Muscari botryoides",0.15,94.33,51.85,1533,3.37
"317","Myagrum perfoliatum",0.24,114.64,41.77,1211.5,20.88
"318","Myosotis arvensis",0.23,123,28.22270336,759.5,0.2927
"319","Myosotis laxa",0.21125,122.3725,6.86943783916667,326.9375,0.224
"320","Myosotis ramosissima",0.101666666666667,146.666666666667,9.06432748533333,187,0.20185
"321","Myosotis scorpioides",0.278333333333333,142.6375,17.645238216,1086.0625,0.3013
"322","Myosotis sylvatica",0.216666666666667,146,19.72615528,613.333333333333,0.53825
"323","Myriophyllum spicatum",1,240.22,3.8,33.825,1.2705
"324","Narcissus pseudonarcissus",0.225,137.5,92.41273817,1773.5,5.81173333333333
"325","Nasturtium officinale",0.24,97.5,29.09564568,1435,0.1932
"326","Nigella arvensis",0.23,174.8,8.135,188.54,2
"327","Nigella damascena",0.3875,179.6,80.92,2361,2.1095
"328","Nymphaea alba",0.03,181,2682.7,39342,1.90181818181818
"329","Oenanthe aquatica",0.6,136.45,209.953333333333,4890.25,2.7778
"330","Oenanthe fistulosa",0.425,132.875,14.7166666666667,420.155,4.39111428571429
"331","Oenanthe lachenalii",1,190.9,77.06,1180.92,1.50885714285714
"332","Onobrychis viciifolia",0.275,244.2425,164.049656625,3134.4375,20.11705
"333","Orchis militaris",0.2,111.96,292.82,6088,0.001
"334","Origanum vulgare",0.408333333333333,233,23.36623932,511,0.09555
"335","Orlaya grandiflora",0.2825,168.19,76.13,1618,12.833
"336","Oxalis acetosella",0.0925,129.785,7.689057145,806,0.961
"337","Oxalis corniculata",0.15,149.72,2.62,220.78,0.1884
"338","Papaver dubium",0.474,175.75,224.6422113475,4627,0.1185
"339","Papaver rhoeas",0.3675,143,166.81395105,4986.5,0.109333333333333
"340","Papaver somniferum",0.7,177.78,272,10398,0.454666666666667
"341","Parietaria judaica",0.3125,185.5,24.25055129,857,0.200185714285714
"342","Parietaria officinalis",0.65,147.535,46.6875,2965,0.389
"343","Paris quadrifolia",0.2,176,37.85083333,1325,119.6368
"344","Parthenocissus inserta",10,220.24,708.54,13662.25,20.42
"345","Pastinaca sativa",0.6,152,382.97528855,14914.5,3.90314285714286
"346","Petasites albus",0.425,121.063333333333,919.5,23322.5833333333,0.234
"347","Petasites hybridus",0.575,201.5,7596.7887335,139875,0.23038
"348","Petrorhagia prolifera",0.3875,231.15,3.345,58.25,0.3506114286
"349","Phacelia tanacetifolia",0.575,131.55,120.36,3123,1.199
"350","Phalaris arundinacea",1.45,263,128.7016232,3366,0.652637037
"351","Phleum pratense",0.371,276.142857142857,9.90727713383333,380,0.58775
"352","Phragmites australis",2.5,403.1,348.394385533333,6925.875,0.134285714285714
"353","Picris hieracioides",0.6375,182.652,77.42508472,2327.55,1.108
"354","Pinus sylvestris",34.5,299.114285714286,10.81,65.9428571428572,7.572
"355","Plantago coronopus",0.03625,102.65,10.0528403756667,187.6875,0.1661875
"356","Plantago lanceolata",0.16125,166.90125,82.787456325,2567,1.61675087721053
"357","Plantago major",0.37,107,1016.91327,30968,0.267838095285714
"358","Plantago media",0.171666666666667,145.333333333333,297.734964233333,4827.66666666667,0.385075
"359","Poa annua",0.085,241.25,3.2107676125,138.333333333333,0.223701578947368
"360","Poa bulbosa",0.11,215.06,0.8,16.08,0.404312
"361","Poa compressa",0.375,282.333333333333,7.362884197,170,0.204577777777778
"362","Poa nemoralis",0.5,319,8.8386436935,536.5,0.181745454545455
"363","Poa palustris",0.8175,334.45,1.3,55,0.15525
"364","Poa pratensis",0.3,308.59,35.79994805,1025,0.272595238142857
