"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"1083",834,"Juncus articulatus",NA,"Juncus",2,"Juncus articulatus","L.","Juncus",2,"kew-314426",1,FALSE,0.8,0,NA,NA,NA,NA,"Juncaceae",NA,"Juncus articulatus",NA
"196",835,"Arctium minus",NA,"Arctium",2,"Arctium minus","(Hill) Bernh.","Arctium",2,"gcc-3683",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Arctium minus","Multiple results"
"2071",836,"Verbascum pulverulentum",NA,"Verbascum",2,"Verbascum pulverulentum","Vill.","Verbascum",2,"kew-2453499",1,FALSE,0.8,0,NA,NA,NA,NA,"Scrophulariaceae",NA,"Verbascum pulverulentum",NA
"1086",837,"Juncus conglomeratus",NA,"Juncus",2,"Juncus conglomeratus","L.","Juncus",2,"kew-314807",1,FALSE,0.8,0,NA,NA,NA,NA,"Juncaceae",NA,"Juncus conglomeratus",NA
"224",838,"Asparagus officinalis",NA,"Asparagus",2,"Asparagus officinalis","L.","Asparagus",2,"kew-275197",1,FALSE,0.8,0,NA,NA,NA,NA,"Asparagaceae",NA,"Asparagus officinalis",NA
"1092",839,"Juncus subnodulosus",NA,"Juncus",2,"Juncus subnodulosus","Schrank","Juncus",2,"kew-315859",1,FALSE,0.8,0,NA,NA,NA,NA,"Juncaceae",NA,"Juncus subnodulosus",NA
"249",840,"Avena fatua",NA,"Avena",2,"Avena fatua","L.","Avena",2,"kew-397488",1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Avena fatua",NA
"1312",841,"Myagrum perfoliatum",NA,"Myagrum",2,"Myagrum perfoliatum","L.","Myagrum",2,"kew-2358951",1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Myagrum perfoliatum",NA
"1032",842,"Hydrocotyle vulgaris",NA,"Hydrocotyle",2,"Hydrocotyle vulgaris","L.","Hydrocotyle",2,"kew-2856402",1,FALSE,0.8,0,NA,NA,NA,NA,"Araliaceae",NA,"Hydrocotyle vulgaris",NA
"1321",843,"Myriophyllum spicatum",NA,"Myriophyllum",2,"Myriophyllum spicatum","L.","Myriophyllum",2,"kew-2366673",1,FALSE,0.8,0,NA,NA,NA,NA,"Haloragaceae",NA,"Myriophyllum spicatum",NA
"252",845,"Avena strigosa",NA,"Avena",2,"Avena strigosa","Schreb.","Avena",2,"kew-397998",1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Avena strigosa",NA
"840",848,"Fallopia convolvulus",NA,"Fallopia",2,"Fallopia convolvulus","(L.) A.Löve","Fallopia",2,"kew-2807634",1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Fallopia convolvulus",NA
"1133",854,"Lathyrus latifolius",NA,"Lathyrus",2,"Lathyrus latifolius","L.","Lathyrus",2,"ild-7761",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Lathyrus latifolius",NA
"278",857,"Bidens tripartita",NA,"Bidens",2,"Bidens tripartita","L.","Bidens",2,"gcc-2528",1,FALSE,0.8,0,NA,NA,NA,NA,"Compositae",NA,"Bidens tripartita",NA
"2046",859,"Ulmus laevis",NA,"Ulmus",2,"Ulmus laevis","Pall.","Ulmus",2,"kew-2448688",1,FALSE,0.8,0,NA,NA,NA,NA,"Ulmaceae",NA,"Ulmus laevis",NA
"1266",863,"Medicago polymorpha",NA,"Medicago",2,"Medicago polymorpha","L.","Medicago",2,"ild-8528",1,FALSE,0.8,0,NA,NA,NA,NA,"Leguminosae",NA,"Medicago polymorpha",NA
"243",865,"Atriplex prostrata",NA,"Atriplex",2,"Atriplex prostrata","Boucher ex DC.","Atriplex",2,"kew-2665694",1,FALSE,0.8,0,NA,NA,NA,NA,"Amaranthaceae",NA,"Atriplex prostrata",NA
"759",866,"Epilobium parviflorum",NA,"Epilobium",2,"Epilobium parviflorum","Schreb.","Epilobium",2,"kew-2790874",1,FALSE,0.8,0,NA,NA,NA,NA,"Onagraceae",NA,"Epilobium parviflorum",NA
"1649",874,"Ranunculus arvensis",NA,"Ranunculus",2,"Ranunculus arvensis","L.","Ranunculus",2,"kew-2524204",1,FALSE,0.8,0,NA,NA,NA,NA,"Ranunculaceae",NA,"Ranunculus arvensis",NA
